artifact_type,file_name,extension,size_bytes,path
checkpoint,a2c_raw_no_action6.zip,.zip,275335,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/a2c_raw_no_action6.zip
checkpoint,best_a2c_train_250000.pt,.pt,128251,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/best_a2c_train_250000.pt
checkpoint,best_a2c_train_250000.zip,.zip,275331,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/best_a2c_train_250000.zip
checkpoint,best_dueling_double_dqn_train_250000.pt,.pt,711241,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/best_dueling_double_dqn_train_250000.pt
checkpoint,best_hierarchical_ppo_1500plus.pt,.pt,132829,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/best_hierarchical_ppo_1500plus.pt
checkpoint,best_hierarchical_ppo_1500plus.zip,.zip,418460,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/best_hierarchical_ppo_1500plus.zip
checkpoint,best_hierarchical_ppo_shooter.zip,.zip,418460,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/best_hierarchical_ppo_shooter.zip
checkpoint,best_hierarchical_ppo_train_250000.pt,.pt,131365,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/best_hierarchical_ppo_train_250000.pt
checkpoint,best_hierarchical_ppo_train_250000.zip,.zip,409091,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/best_hierarchical_ppo_train_250000.zip
checkpoint,best_ppo_train_250000.pt,.pt,128251,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/best_ppo_train_250000.pt
checkpoint,best_ppo_train_250000.zip,.zip,400348,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/best_ppo_train_250000.zip
checkpoint,dueling_double_dqn_comparison.pt,.pt,711115,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/dueling_double_dqn_comparison.pt
checkpoint,final_a2c_train_250000.pt,.pt,128333,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/final_a2c_train_250000.pt
checkpoint,final_a2c_train_250000.zip,.zip,275335,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/final_a2c_train_250000.zip
checkpoint,final_dueling_double_dqn_train_250000.pt,.pt,711259,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/final_dueling_double_dqn_train_250000.pt
checkpoint,final_hierarchical_ppo_1500plus.pt,.pt,132783,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/final_hierarchical_ppo_1500plus.pt
checkpoint,final_hierarchical_ppo_1500plus.zip,.zip,419481,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/final_hierarchical_ppo_1500plus.zip
checkpoint,final_hierarchical_ppo_shooter.zip,.zip,419481,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/final_hierarchical_ppo_shooter.zip
checkpoint,final_hierarchical_ppo_train_250000.pt,.pt,131447,/mnt/c/Users/Waranon-021/Desktop/shooter_friend_v10_multi_budget_video_export_flags_fixed/checkpoints/final_hierarchical_ppo_train_250000.pt
